"","candidate","votes","round","share","elim","n_cand"
"1","Eric L. Adams",288654,1,30.8,0,15
"2","Maya D. Wiley",199778,1,21.3,0,15
"3","Kathryn A. Garcia",183433,1,19.6,0,15
"4","Andrew Yang",114639,1,12.2,0,15
"5","Scott M. Stringer",51534,1,5.5,0,15
"6","Dianne Morales",26374,1,2.8,0,15
"7","Raymond J. McGuire",25074,1,2.7,0,15
"8","Shaun Donovan",23074,1,2.5,0,15
"9","Aaron S. Foldenauer",7729,1,0.8,0,15
"10","Art Chang",7023,1,0.7,0,15
"11","Paperboy Love Prince",3934,1,0.4,0,15
"12","Joycelyn Taylor",2652,1,0.3,0,15
"13","Isaac Wright Jr.",2234,1,0.2,0,15
"14","Write-ins",1567,1,0.2,0,15
"15","Inactive ballots",0,1,NA,0,15
"16","Eric L. Adams",288854,2,30.8,0,14
"17","Maya D. Wiley",199844,2,21.3,0,14
"18","Kathryn A. Garcia",183541,2,19.6,0,14
"19","Andrew Yang",114810,2,12.3,0,14
"20","Scott M. Stringer",51606,2,5.5,0,14
"21","Dianne Morales",26413,2,2.8,0,14
"22","Raymond J. McGuire",25104,2,2.7,0,14
"23","Shaun Donovan",23096,2,2.5,0,14
"24","Aaron S. Foldenauer",7745,2,0.8,0,14
"25","Art Chang",7039,2,0.8,0,14
"26","Paperboy Love Prince",3977,2,0.4,0,14
"27","Joycelyn Taylor",2673,2,0.3,0,14
"28","Isaac Wright Jr.",2246,2,0.2,0,14
"29","Inactive ballots",751,2,NA,0,14
"30","Eric L. Adams",289304,3,30.9,0,13
"31","Maya D. Wiley",200167,3,21.4,0,13
"32","Kathryn A. Garcia",183637,3,19.6,0,13
"33","Andrew Yang",115011,3,12.3,0,13
"34","Scott M. Stringer",51707,3,5.5,0,13
"35","Dianne Morales",26524,3,2.8,0,13
"36","Raymond J. McGuire",25250,3,2.7,0,13
"37","Shaun Donovan",23221,3,2.5,0,13
"38","Aaron S. Foldenauer",7806,3,0.8,0,13
"39","Art Chang",7068,3,0.8,0,13
"40","Paperboy Love Prince",4030,3,0.4,0,13
"41","Joycelyn Taylor",2770,3,0.3,0,13
"42","Inactive ballots",1204,3,NA,0,13
"43","Eric L. Adams",291047,4,31.2,0,9
"44","Maya D. Wiley",204628,4,21.9,0,9
"45","Kathryn A. Garcia",185693,4,19.9,0,9
"46","Andrew Yang",117513,4,12.6,0,9
"47","Scott M. Stringer",53351,4,5.7,0,9
"48","Dianne Morales",30032,4,3.2,0,9
"49","Raymond J. McGuire",26187,4,2.8,0,9
"50","Shaun Donovan",23945,4,2.6,0,9
"51","Inactive ballots",5303,4,NA,0,9
"52","Eric L. Adams",295030,5,31.7,0,8
"53","Maya D. Wiley",207709,5,22.3,0,8
"54","Kathryn A. Garcia",190813,5,20.5,0,8
"55","Andrew Yang",121085,5,13,0,8
"56","Scott M. Stringer",56465,5,6.1,0,8
"57","Dianne Morales",30803,5,3.3,0,8
"58","Raymond J. McGuire",27752,5,3,0,8
"59","Inactive ballots",8042,5,NA,0,8
"60","Eric L. Adams",316234,6,34.7,0,5
"61","Maya D. Wiley",237621,6,26.1,0,5
"62","Kathryn A. Garcia",222389,6,24.4,0,5
"63","Andrew Yang",135096,6,14.8,0,5
"64","Inactive ballots",26359,6,NA,0,5
"65","Eric L. Adams",353664,7,40.5,0,4
"66","Maya D. Wiley",253094,7,29,0,4
"67","Kathryn A. Garcia",265461,7,30.4,0,4
"68","Inactive ballots",65480,7,NA,0,4
"69","Eric L. Adams",403333,8,50.5,0,3
"70","Kathryn A. Garcia",394907,8,49.5,0,3
"71","Inactive ballots",139459,8,NA,0,3
