"","nodeID","nodeGroup","nodeRound","nodeNum"
"1","6 Eric L. Adams","Eric L. Adams",6,0
"2","6 Kathryn A. Garcia","Kathryn A. Garcia",6,1
"3","6 Maya D. Wiley","Maya D. Wiley",6,2
"4","6 Andrew Yang","Andrew Yang",6,3
"5","6 Inactive ballots","Inactive ballots",6,4
"6","7 Eric L. Adams","Eric L. Adams",7,5
"7","7 Kathryn A. Garcia","Kathryn A. Garcia",7,6
"8","7 Maya D. Wiley","Maya D. Wiley",7,7
"9","7 Inactive ballots","Inactive ballots",7,8
"10","8 Eric L. Adams","Eric L. Adams",8,9
"11","8 Kathryn A. Garcia","Kathryn A. Garcia",8,10
"12","8 Inactive ballots","Inactive ballots",8,11
